Graph_Name,Vertices,Edges,Edges_in_TC,Run_time,num_procs
Tina_AskCal.csv,11,29,82,0.000283450000,1
Tina_AskCal.csv,11,29,82,0.000210449000,2
Tina_AskCal.csv,11,29,82,0.000118933000,3
Tina_AskCal.csv,11,29,77,0.000091366000,4
GD02_a.csv,23,87,484,0.002485478000,1
GD02_a.csv,23,87,484,0.001288501000,2
GD02_a.csv,23,87,484,0.000939438000,3
GD02_a.csv,23,87,484,0.000721038000,4
ibm32.csv,32,126,1024,0.006691756000,1
ibm32.csv,32,126,1024,0.003333579000,2
ibm32.csv,32,126,1023,0.002387685000,3
ibm32.csv,32,126,1021,0.001694523000,4
GD95_c.csv,62,287,3844,0.048269425000,1
GD95_c.csv,62,287,3046,0.024433153000,2
GD95_c.csv,62,287,3844,0.016517599000,3
GD95_c.csv,62,287,3806,0.012459473000,4
GD02_b.csv,80,232,4880,0.071303773000,1
GD02_b.csv,80,232,4880,0.037511592000,2
GD02_b.csv,80,232,4837,0.024905727000,3
GD02_b.csv,80,232,4861,0.019819617000,4
GD97_a.csv,84,332,7056,0.040254099000,1
GD97_a.csv,84,332,7056,0.020659757000,2
GD97_a.csv,84,332,7056,0.014230795000,3
GD97_a.csv,84,332,7056,0.010958508000,4
GD98_b.csv,121,207,12480,0.090945872000,1
GD98_b.csv,121,207,12480,0.047947984000,2
GD98_b.csv,121,207,12475,0.032253679000,3
GD98_b.csv,121,207,12480,0.025970697000,4
GD96_d.csv,180,229,3365,0.012996788000,1
GD96_d.csv,180,229,3365,0.006445943000,2
GD96_d.csv,180,229,3365,0.005619404000,3
GD96_d.csv,180,229,3365,0.004047951000,4
Harvard500.csv,500,2636,168011,1.857839904000,1
Harvard500.csv,500,2636,168011,0.935623794000,2
Harvard500.csv,500,2636,168011,0.635551575000,3
Harvard500.csv,500,2636,168011,0.493534764000,4
Roget.csv,1022,5075,898910,18.319560699000,1
Roget.csv,1022,5075,898910,9.184859453000,2
Roget.csv,1022,5075,898902,6.243734242000,3
Roget.csv,1022,5075,898892,4.754406587000,4
GD06_Java.csv,1538,8032,591906,11.717769837000,1
GD06_Java.csv,1538,8032,591902,4.966460196000,2
GD06_Java.csv,1538,8032,591874,3.973925616000,3
GD06_Java.csv,1538,8032,591884,2.570201535000,4
CSphd.csv,1882,1740,7404,0.042366129000,1
CSphd.csv,1882,1740,7404,0.023813960000,2
CSphd.csv,1882,1740,7397,0.011809845000,3
CSphd.csv,1882,1740,6828,0.009290871000,4
Kohonen.csv,4470,12731,170067,0.819942866000,1
Kohonen.csv,4470,12731,170067,0.457843748000,2
Kohonen.csv,4470,12731,170067,0.325374320000,3
Kohonen.csv,4470,12731,170067,0.289331663000,4
EPA.csv,4772,8965,35604,0.199812343000,1
EPA.csv,4772,8965,35604,0.098947968000,2
EPA.csv,4772,8965,35604,0.065536555000,3
EPA.csv,4772,8965,35604,0.053094570000,4
